text,label,target,text_pl
Top Hedge Fund Managers Do Well in a Down Year,news,0,Najlepsi menedżerowie funduszy hedgingowych radzą sobie dobrze w roku gorszym
51 suspects named by UN for war crimes in Darfur,news,0,ONZ wymieniło 51 podejrzanych o zbrodnie wojenne w Darfurze
This Video Is For Every Girl Who Can't Do Makeup,clickbait,1,"Ten film jest przeznaczony dla każdej dziewczyny, która nie potrafi robić makijażu"
23 Movies From Sundance You Need To Know About,clickbait,1,"23 filmy z Sundance, o których musisz wiedzieć"
19 Euphoric Experiences For People Who Love Stationery,clickbait,1,19 euforycznych przeżyć dla osób kochających artykuły papiernicze
Canada eyes plan to legalize marijuana by 2018: 5 things to know,news,0,"Kanada planuje zalegalizować marihuanę do 2018 roku: 5 rzeczy, które warto wiedzieć"
Iskcon Temple In Utah Celebrated The World's Biggest Holi And The Video Will Make You Very Happy,clickbait,1,"Świątynia Iskcon w stanie Utah obchodziła największe na świecie święto Holi, a ten film sprawi, że będziecie bardzo szczęśliwi"
Amazon rainforest being destroyed faster than previously believed,news,0,"Lasy deszczowe Amazonii niszczone są szybciej, niż wcześniej sądzono"
Here Are 19 Of The Best Tacos In America,clickbait,1,Oto 19 najlepszych tacos w Ameryce
Recalled Newsweek ‘Madam President’ Clinton issue hits eBay,clickbait,1,Przypomniany numer Newsweeka „Madam President” Clinton trafia do serwisu eBay
What Karaoke Song Should You Sing Based On Your Zodiac Sign,clickbait,1,Jaką piosenkę karaoke powinieneś zaśpiewać w zależności od swojego znaku zodiaku
Chances for N.C.A.A. Tournament Midmajors to Slay Some Giants,news,0,"Szanse dla N.C.A.A.Turniejowe klasy średnie, które zabiją kilku gigantów"
Porcine of the times! Booze-guzzling pig shows-up stunned drinkers by chugging THREE bottles of beer in seconds,clickbait,1,"Świnia czasów!Żłopiąca alkohol świnia przywołuje oszołomionych pijących, wypijając TRZY butelki piwa w ciągu kilku sekund"
Remains of 1912 expedition plane found in Antarctica,news,0,Pozostałości samolotu ekspedycyjnego z 1912 roku znalezione na Antarktydzie
What Does Your Most-Used Emoji Say About You,clickbait,1,Co mówi o Tobie najczęściej używany emoji?
A 'No Makeup' Cafe Is Opening in Tokyo,news,0,W Tokio otwiera się kawiarnia „No Makeup”.
53 Pictures Only Introverts Can Truly Appreciate,clickbait,1,"53 zdjęcia, które tylko introwertycy mogą naprawdę docenić"
Pakistan warned British intelligence about terrorist plans to bomb London,news,0,Pakistan ostrzegł brytyjski wywiad o terrorystycznych planach zbombardowania Londynu
24 Beauty Secrets You Should Really Know,clickbait,1,"24 sekrety urody, które naprawdę powinnaś znać"
23 Gifts For People Who Love Pizza More Than They Love You,clickbait,1,"23 prezenty dla osób, które kochają pizzę bardziej niż ciebie"
Stop What You're Doing And Listen To Michelle Obama's Girl Power Playlist,clickbait,1,"Przestań robić to, co robisz i posłuchaj playlisty Girl Power Michelle Obamy"
Brawl Erupts in Turkey's Parliament Over Constitutional Reform ,news,0,W tureckim parlamencie wybucha bójka w związku z reformą konstytucyjną
17 Amazing Christmas Jumpers You Simply Must Have,clickbait,1,"17 niesamowitych świątecznych swetrów, które po prostu musisz mieć"
"Cook’s favourite books, kit and gadgets of 2016",clickbait,1,"Ulubione książki, zestawy i gadżety Cooka z 2016 roku"
What Celebrity Body Part Are You,clickbait,1,Jaką częścią ciała gwiazdy jesteś
"Here’s everything we know so far about Faraday Future’s FF91 electric, self-driving car",news,0,"Oto wszystko, co wiemy do tej pory o elektrycznym, autonomicznym samochodzie FF91 firmy Faraday Future"
"Sunderland relegation ‘my worst day in football’, says David Moyes",news,0,Spadek z ligi Sunderland to „mój najgorszy dzień w piłce nożnej” - mówi David Moyes
Documenting Torture: Doctors Search For New Ways To Gather Evidence,news,0,Dokumentowanie tortur: lekarze szukają nowych sposobów gromadzenia dowodów
China Gives ‘Hedge Fund Brother No.1’ 5 1/2 Years in Prison,clickbait,1,Chiny dają „bratowi nr 1 z funduszu hedgingowego” 5 i pół roku więzienia
"Mike Pence at Firebombed GOP Office: an Act of ""Political Terror"" - Breitbart",news,0,Mike Pence w biurze GOP Firebombed: akt „terroru politycznego” - Breitbart
"Donald Trump Gave Us His Best Dad Moves For A ""Hotline Bling"" Parody",clickbait,1,Donald Trump dał nam swoje najlepsze ruchy taty w parodii „Hotline Bling”.
"$1,000 reward offered for answer from US President",news,0,Nagroda w wysokości 1000 dolarów za odpowiedź od prezydenta USA
Which One Of Zayn Malik's Tattoos Are You,clickbait,1,Którym z tatuaży Zayna Malika jesteś?
Weed Prices Are Falling Thanks to Legalization,news,0,Ceny chwastów spadają dzięki legalizacji
CNN Prepares a Fresh Team of Medical Experts,news,0,CNN przygotowuje świeży zespół ekspertów medycznych
Australian rules football: 2010 Gippsland Football League round 11 - Wonthaggi v Traralgon,news,0,Futbol australijski rządzi: 11. runda Gippsland Football League 2010 - Wonthaggi przeciwko Traralgon
JPMORGAN: Wall Street is underestimating the next iPhone 'super cycle' (AAPL),news,0,JPMORGAN: Wall Street nie docenia kolejnego „supercyklu” iPhone’a (AAPL)
Australian businessmen arrested in China for spying,news,0,Australijscy biznesmeni aresztowani w Chinach za szpiegostwo
Greta Van Susteren’s Advice for the Tweeter-in-Chief,news,0,Rady Grety Van Susteren dla naczelnego tweetera
Missouri Thrives on Running Opponents Ragged,news,0,Missouri prosperuje dzięki rozdzieranym rywalom
Beijing Favorite Carrie Lam to Be Hong Kong’s Next Leader,news,0,Ulubiona przez Pekin Carrie Lam na następną przywódczynię Hongkongu
Uzo Aduba On Why We Need More Characters Like Crazy Eyes,clickbait,1,"Uzo Aduba o tym, dlaczego potrzebujemy więcej postaci takich jak Crazy Eyes"
What McDonald's Menu Item Are You,clickbait,1,Jaką pozycją w menu McDonald's jesteś
"People Judged Me On My Weight Post-Pregnancy, Says Shilpa Shetty On Fat-Shaming Of New Mothers",clickbait,1,Ludzie oceniali mnie na podstawie mojej wagi po ciąży - mówi Shilpa Shetty o zawstydzaniu młodych matek
World’s oldest panda Jia Jia dies in Hong Kong,news,0,W Hongkongu zmarła najstarsza panda świata Jia Jia
"Oh My God, There's Going To Be A ""Friday Night Lights"" Reunion In Texas",clickbait,1,"O mój Boże, w Teksasie odbędzie się zjazd „Friday Night Lights”."
Why reporting on health and science is a good way to lose friends and alienate people,news,0,Dlaczego reportaże na temat zdrowia i nauki to dobry sposób na utratę przyjaciół i zniechęcenie ludzi?
Wikinews interviews U.S. Libertarian Party potential presidential candidate R.J. Harris,news,0,"Wikinews przeprowadza wywiad z potencjalnym kandydatem na prezydenta Partii Libertariańskiej USA, R.J.Harrisa"
19 Things That Won't Make Sense To Non-Twins,clickbait,1,"19 rzeczy, które nie będą miały sensu dla osób niebędących bliźniakami"
Race for Life’s branding is cliched and infantile. It’s time to sink the pink,news,0,Branding Race for Life jest banalny i infantylny.Czas zatopić róż
"Netanyahu Urges Pope Benedict, in Israel, to Denounce Iran",news,0,Netanjahu wzywa papieża Benedykta w Izraelu do potępienia Iranu
Philip Green: Arcadia will double pension fund contributions,news,0,Philip Green: Arcadia podwoi składki na fundusz emerytalny
US swimmer dies in open-water race,news,0,Amerykański pływak zginął podczas wyścigu na wodach otwartych
Mehbooba Mufti Says There'll Be No Peace Till Pandits Feel Safe Living In Kashmir,news,0,"Mehbooba Mufti mówi, że nie będzie pokoju, dopóki pandici nie poczują się bezpiecznie w Kaszmirze"
28 Essential Items Every Guy Needs To Own This Fall,clickbait,1,"28 niezbędnych przedmiotów, które każdy facet musi posiadać tej jesieni"
22 Reasons You Need To Follow Daisy Ridley On Instagram,clickbait,1,"22 powody, dla których musisz śledzić Daisy Ridley na Instagramie"
Danny Gokey Debuts at No. 1 on Top Christian Albums Chart,news,0,Danny Gokey debiutuje na pierwszym miejscu listy najpopularniejszych albumów chrześcijańskich
Twitter Sues Homeland Security To Protect Anonymity Of ’Alt Immigration’ Account,news,0,Twitter pozywa Departament Bezpieczeństwa Wewnętrznego w celu ochrony anonimowości konta „Alt Immigration”.
"Do You Know The Full Names Of ""The Office"" Characters",clickbait,1,Czy znasz pełne imiona i nazwiska bohaterów „Biura”?
Chinese human rights activist faces trial,news,0,Chiński działacz na rzecz praw człowieka stanie przed sądem
Girl Had A Perfect Response When Asked Why She Wanted A Black Doll,clickbait,1,"Dziewczyna doskonale odpowiedziała na pytanie, dlaczego chce czarną lalkę"
13 Ways Your Body Can Go Wrong In Space,clickbait,1,"13 sposobów, w jakie Twoje ciało może się zepsuć w kosmosie"
"Why every mammal (including humans), takes 12 seconds to poop - but no word on why your man spends 15 minutes in the loo",clickbait,1,"Dlaczego każdy ssak (w tym człowiek) robi kupę w ciągu 12 sekund - ale nie ma słowa na temat tego, dlaczego Twój mężczyzna spędza 15 minut w toalecie"
Trump’s circle looking for outside legal team,news,0,Krąg Trumpa szuka zewnętrznego zespołu prawnego
Freshwater lakes in Texas show signs of extreme drought,news,0,Słodkowodne jeziora w Teksasie wykazują oznaki skrajnej suszy
"F.D.A. Is Lax on Oversight During Trials, Inquiry Finds",news,0,"FDADochodzenie wykazało, że niedostatecznie nadzoruje podczas prób"
The Winners And Losers Of Asian Representation In Hollywood In 2015,clickbait,1,Zwycięzcy i przegrani reprezentacji Azji w Hollywood w 2015 r
The Most Delicious And Foolproof Way To Cook Salmon,clickbait,1,Najsmaczniejszy i niezawodny sposób na ugotowanie łososia
"We want children, but my husband struggles to climax through intercourse",clickbait,1,"Pragniemy dzieci, ale mój mąż ma trudności z osiągnięciem orgazmu podczas stosunku"
"British FTSE index reaches one-year high, other European markets rise",news,0,"Brytyjski indeks FTSE najwyższy od roku, pozostałe rynki europejskie rosną"
Creep pleads guilty to recording sex with drugged women,news,0,Creep przyznaje się do nagrywania seksu z kobietami pod wpływem narkotyków
Aussie Fund Giant Sees 'Great Opportunity' in Trump,news,0,Aussie Fund Giant widzi w Trumpie „wielką szansę”
Businesses shy to adopt Windows XP SP2,news,0,Firmy boją się przyjąć Windows XP SP2
Murderer of Dutch filmmaker van Gogh gets life term,news,0,Zabójca holenderskiego reżysera van Gogha skazany na dożywocie
Nine killed after bombings in southern Afghanistan,news,0,Dziewięć osób zginęło w wyniku zamachów bombowych w południowym Afganistanie
New South Wales Liberal leader attempts suicide,news,0,Lider liberałów w Nowej Południowej Walii próbuje popełnić samobójstwo
No. 11 Syracuse Stays Unbeaten in Big East With Win Over Rutgers,news,0,Syracuse nr 11 pozostaje niepokonane na Wielkim Wschodzie dzięki zwycięstwu nad Rutgers
The 21 Best Picture Books Of 2015,clickbait,1,21 najlepszych książek obrazkowych 2015 roku
Cassini discovers Saturn moon atmosphere,news,0,Cassini odkrywa atmosferę księżyca Saturna
14 Green Smoothies For People Who Can Still Taste The Kale,clickbait,1,"14 zielonych koktajli dla osób, które nadal mogą posmakować jarmużu"
16 Beautifully Touching Tattoos That Honor Moms,clickbait,1,"16 pięknie wzruszających tatuaży, które honorują mamy"
"Stricker Leaves Opening, and Clark Slips Into Lead at Colonial",news,0,"Stricker opuszcza otwarcie, a Clark przejmuje prowadzenie w Colonial"
Italian MP starts thirst and hunger strike to protest Saddam execution,news,0,"Włoski poseł rozpoczyna strajk głodowy i pragnienie, aby zaprotestować przeciwko egzekucji Saddama"
"For Growing Ranks of the White-Collar Jobless, Support With a Touch of the Spur",news,0,"Dla rosnących szeregów bezrobotnych umysłowych, wsparcie przy pomocy odrobiny ostrogi"
"Bowe Bergdahl, Facing Desertion Trial, Asks Obama for Pardon ",news,0,"Bowe Bergdahl, oskarżony o dezercję, prosi Obamę o ułaskawienie"
Which Shondaland Hunk Should Be Your Valentine,clickbait,1,Który przystojniak z Shondaland powinien być Twoją walentynką
7 Easy Dinners That Everybody Will Love,clickbait,1,"7 łatwych obiadów, które każdy pokocha"
"Get Ready For Another Crazy Season Of ""House Of Cards""",clickbait,1,Przygotuj się na kolejny szalony sezon „House Of Cards”
Western New York prepares for ice storm,news,0,Zachodni Nowy Jork przygotowuje się na burzę lodową
Florida’s Forgotten ‘Above-Ground’ Railroad - Video - NYTimes.com,news,0,Zapomniana kolej naziemna na Florydzie - wideo - NYTimes.com
Why Australia's AAA credit rating is doomed,clickbait,1,Dlaczego rating kredytowy AAA Australii jest skazany na porażkę
19 Sex Horror Stories That'll Make You Feel Better About Your Love Life,clickbait,1,"19 horrorów o seksie, które sprawią, że poczujesz się lepiej w swoim życiu miłosnym"
14 Horror Movies That Would Actually Terrify Women,clickbait,1,"14 horrorów, które naprawdę przeraziłyby kobiety"
Iman Remembers David Bowie on the Anniversary of His Death ,news,0,Iman wspomina Davida Bowiego w rocznicę jego śmierci
DJ Khaled's Snapchats Are The Perfect Fortune Cookies,clickbait,1,Snapchaty DJ Khaleda to ciasteczka idealne na szczęście
Spike Lee's New Film Sticks Women With The Responsibility To End Violence,clickbait,1,Nowy film Spike’a Lee nakłada na kobiety obowiązek położenia kresu przemocy
Former Beatle set for Quebec City concert amid protests,news,0,Były Beatles wybrał się na koncert w Quebec City pośród protestów
PROMO: Toyota and Photographer Anthony Supreme Get to Know the Unknown,clickbait,1,PROMOCJA: Toyota i fotograf Anthony Supreme poznają nieznane
Why Is Kanye West Smiling In These Pictures,clickbait,1,Dlaczego Kanye West uśmiecha się na tych zdjęciach
Getting 50-Somethings to Pay for Streaming Music,news,0,Zarabianie 50-latków za strumieniowe przesyłanie muzyki
The Bottom Line: 'Homesick For Another World' By Ottessa Moshfegh,clickbait,1,Konkluzja: „Tęsknota za innym światem” Ottessy Moshfegh
The Soup Cancelled After 22-Year Run,clickbait,1,Zupa anulowana po 22 latach emisji
Roddick and Ivanovic Advance at Australian Open,news,0,Roddick i Ivanovic Advance podczas Australian Open
What's The Most Useful Thing You Own,clickbait,1,"Jaka jest najbardziej przydatna rzecz, którą posiadasz"
17 Facebook Life Events That Are Actually Worth Bragging About,clickbait,1,"17 wydarzeń z życia na Facebooku, którymi naprawdę warto się chwalić"
Dr. Zizmor Has Retired So No One In NYC Will Ever Have Clear Skin Again,clickbait,1,"Doktor Zizmor przeszedł na emeryturę, więc nikt w Nowym Jorku już nigdy nie będzie miał jasnej skóry"
Accused Sexual Predator Proclaims April National Sexual Assault Awareness Month,news,0,Oskarżony o drapieżnik na tle seksualnym ogłasza kwietniowy Narodowy Miesiąc Świadomości Napaści Na tle Seksualnym
A Six-Figure Income May Not Shield You From a Shock,clickbait,1,Sześciocyfrowy dochód może nie uchronić Cię przed szokiem
California Insurance Marketplace Aims To Kick Out Poor-Performing Hospitals,news,0,Kalifornijski rynek ubezpieczeń ma na celu wyrzucanie szpitali o słabych wynikach
"Move over hipsters, here comes the ""yuccie""",clickbait,1,"Posuńcie się hipsterzy, nadchodzi „yuccie”"
Heavy turbulence during WestJet flight injures nine people,news,0,Silne turbulencje podczas lotu WestJet ranią dziewięć osób
19 Pieces Of Shitty Taxidermy That Sum Up Your 2015,clickbait,1,"19 fragmentów gównianej taksydermii, które podsumowują Twój rok 2015"
Terry McAuliffe: Alexandria Shooting Proves We Have ’Too Many Guns on the Street’ - Breitbart,news,0,"Terry McAuliffe: Strzelanina w Aleksandrii dowodzi, że mamy „za dużo broni na ulicach” - Breitbart"
18 Breathtakingly Photographic Locations In Wales,clickbait,1,18 zapierających dech w piersiach fotograficznych lokalizacji w Walii
This Incredible Canadian Instagram Account Will Literally Kill You,clickbait,1,To niesamowite kanadyjskie konto na Instagramie dosłownie Cię zabije
Is Star Power Enough to Sell Beer in Hard Times? Two Brewers Hope So,news,0,"Czy Star Power wystarczy, aby sprzedawać piwo w trudnych czasach?Dwóch piwowarów ma taką nadzieję"
These Eerie Photos Show Just How Hooked We Are On Our Phones,clickbait,1,"Te niesamowite zdjęcia pokazują, jak bardzo jesteśmy uzależnieni od naszych telefonów"
"The 17 best jobs in America that pay over $100,000",clickbait,1,"17 najlepszych zawodów w Ameryce, które płacą ponad 100 000 dolarów"
Unrequited Love,clickbait,1,Nieodwzajemniona miłość
Watch Hilary Duff's Soul Get Crushed As She Realizes She Got A Parking Ticket,clickbait,1,"Zobacz, jak dusza Hilary Duff zostaje zmiażdżona, gdy dowiaduje się, że dostała bilet parkingowy"
Beijing 2008: Michael Phelps wins eighth gold,news,0,Pekin 2008: Michael Phelps zdobywa ósme złoto
Donald Trump's First 100 Days in Office President Trump to Chris Christie: Try the Meatloaf,clickbait,1,Pierwsze 100 dni urzędowania Donalda Trumpa Prezydent Trump do Chrisa Christie: spróbuj klopsów
DVLA website struggles with new rules on hiring a car,clickbait,1,Strona DVLA boryka się z nowymi zasadami wynajmu samochodu
Bush nominates Alito to U.S. Supreme Court,news,0,Bush nominuje Alito do Sądu Najwyższego Stanów Zjednoczonych
Romanian foreign minister breaks the ice between Bucharest and Chisinau,news,0,Minister spraw zagranicznych Rumunii przełamuje lody między Bukaresztem a Kiszyniowem
"When Taylor Swift Wants To Meet You, You Meet Her",clickbait,1,"Kiedy Taylor Swift chce się z tobą spotkać, spotykasz ją"
U.S. Senator Tim Johnson hospitalized,news,0,Amerykański senator Tim Johnson trafił do szpitala
Calif. police ask for public's help IDing woman who claims she's a mermaid,news,0,"Kalifornijska policja prosi o pomoc w identyfikacji kobiety, która twierdzi, że jest syreną"
"Paralysed Waist Down, Bandra Man Swims To Cover 8-Km Distance In 4 Hours!",clickbait,1,Sparaliżowany od pasa w dół Bandra pływa i pokonał dystans 8 km w 4 godziny!
Would You Smooch These Animals,clickbait,1,Czy pogłaskałbyś te zwierzęta?
Snapchats Only A Morning Person and A Non-Morning Person Would Exchange,clickbait,1,Snapchaty wymieniałaby tylko osoba poranna i osoba nieporanna
Why This Woman Removed Her Healthy Breasts And Ovaries,clickbait,1,Dlaczego ta kobieta usunęła swoje zdrowe piersi i jajniki
Twitter shares drop on news of the company’s executive shake-up,news,0,Akcje Twittera spadają po wiadomościach o zmianach w kierownictwie firmy
Steve Harvey Talks Housing With President-Elect Trump - The New York Times,news,0,Steve Harvey rozmawia z prezydentem-elektem Trumpem na temat mieszkalnictwa - The New York Times
GFs Shaved Their BFs' Faces... And Blood Was Everywhere,clickbait,1,Dziewczyny ogoliły twarze swoich chłopaków… a krew była wszędzie
Manus Island detention centre: Shooting reports being investigated by police,news,0,Areszt zatrzymań na wyspie Manus: Policja bada raporty o strzelaninach
"Can You Identify A Show By Looking At An Old ""TV Guide"" Cover",clickbait,1,Czy rozpoznasz program po okładce starego „Przewodnika telewizyjnego”?
Wal-Mart accused of workers rights violations,news,0,Wal-Mart oskarżony o łamanie praw pracowniczych
"21 Reasons You'll Want To Watch ""I'll Be Home For Christmas"" This Holiday",clickbait,1,"21 powodów, dla których będziesz chciał obejrzeć „Będę w domu na Boże Narodzenie” w te wakacje"
Report: Teacher continued to work despite sexual assault claims ,news,0,Raport: Nauczyciel kontynuował pracę pomimo zarzutów o napaść na tle seksualnym
LeBron James causes stir with message to Instagram model,news,0,LeBron James wywołuje zamieszanie przesłaniem do modelki na Instagramie
North America's oldest retailer sold to U.S. owners of Lord & Taylor,news,0,Najstarszy sprzedawca detaliczny w Ameryce Północnej sprzedany amerykańskim właścicielom Lord & Taylor
"In Denmark, Passage of Rules on Immigration Called for Cake ",clickbait,1,W Danii uchwalenie przepisów dotyczących imigracji okazało się strzałem w dziesiątkę
"Man dies after being hit by train in Moray, Scotland",news,0,Mężczyzna zmarł po potrąceniu przez pociąg w Moray w Szkocji
Has This Artist Won A Grammy,clickbait,1,Czy ten artysta zdobył nagrodę Grammy
Surgeon who cut off four-year-old's penis while carrying out circumcision as the boy's father took photographs is CLEARED of negligence,news,0,"Chirurg, który odciął penisa czterolatkowi podczas obrzezania, gdy ojciec chłopca robił zdjęcia, zostanie OCZYSZCZONY z zaniedbania"
"29 ""Harry Potter And The Chamber Of Secrets"" Titles That Are Actually Accurate",clickbait,1,"29 tytułów „Harry Potter i Komnata Tajemnic”, które są rzeczywiście dokładne"
Why many Syrians welcomed US strikes on Assad regime targets,clickbait,1,Dlaczego wielu Syryjczyków z radością przyjęło ataki USA na cele reżimu Assada
Pigskin A Blanket: Super Bowl 50 Picks,clickbait,1,Koc ze świńskiej skóry: Super Bowl 50 typów
These New York Taxi Drivers Nailed Their Sexiest Poses For A Charity Pin Up Calendar,clickbait,1,Te nowojorskie taksówkarze przybrały najseksowniejsze pozy do charytatywnego kalendarza pin-up
"We Need To Talk About ""Harry Potter And The Prisoner Of Azkaban""",clickbait,1,Musimy porozmawiać o „Harrym Potterze i więźniu Azkabanu”
Brexit: British Government Loses Court Fight — What’s Next?,clickbait,1,Brexit: Rząd brytyjski przegrywa walkę sądową - co dalej?
10 Comics Only Servers Will Understand,clickbait,1,"10 komiksów, które zrozumieją tylko serwery"
Why Scottish politician Nicola Sturgeon has been called ‘the most dangerous woman in Britain’,clickbait,1,Dlaczego szkocka polityk Nicola Sturgeon została nazwana „najniebezpieczniejszą kobietą w Wielkiej Brytanii”
We Can Predict Your Future Based On Your Eye Color,clickbait,1,Możemy przewidzieć Twoją przyszłość na podstawie koloru oczu
Australia’s Dinosaur Laboratory,clickbait,1,Australijskie Laboratorium Dinozaurów
"How Many Of These ""Harry Potter"" Characters Can You Name",clickbait,1,Ile z tych postaci z „Harry’ego Pottera” potrafisz wymienić
Find Out How Far You Can Drive Your Car on Empty,clickbait,1,"Dowiedz się, jak daleko możesz przejechać samochodem na pustym"
This Is What Happens When Your Abuela Tries To Speak English,clickbait,1,"Oto co się dzieje, gdy Twoja Abuela próbuje mówić po angielsku"
"Rodriguez Takes the Field for Yanks, and Few Seem to Notice",news,0,"Rodriguez przejmuje pole dla Jankesów, a niewielu zdaje się to zauważać"
AMD Betting on Wi-Fi to Open Up Virtual Reality,news,0,"AMD stawia na Wi-Fi, aby otworzyć wirtualną rzeczywistość"
Paul Ryan greets the new Congress: ‘This is a once-in-a-lifetime opportunity’ [Video],news,0,"Paul Ryan wita nowego Kongresu: „To szansa, która zdarza się raz w życiu” [Wideo]"
"There's A New Trailer For The ""Sherlock"" Christmas Special And It's Pure Magic",clickbait,1,Jest nowy zwiastun świątecznego programu specjalnego „Sherlock” i jest to czysta magia
Which Shia Are You Based On Your Favorite Hole,clickbait,1,Którym szyitą jesteś na podstawie swojej ulubionej dziury
19 Things You Quickly Realize When You Move Into Your First Apartment,clickbait,1,"19 rzeczy, o których szybko zdajesz sobie sprawę, wprowadzając się do swojego pierwszego mieszkania"
Former British Prime Minister Margaret Thatcher dies aged 87,news,0,W wieku 87 lat zmarła była premier Wielkiej Brytanii Margaret Thatcher
FEMA accused of misusing trained disaster workers as public-relations workers,news,0,FEMA oskarżona o wykorzystywanie przeszkolonych pracowników zajmujących się katastrofami jako pracowników public relations
17 Dogs Who Just KNOW,clickbait,1,"17 psów, które po prostu WIEDZĄ"
How The Hubble Space Telescope Changed The Universe,clickbait,1,Jak Kosmiczny Teleskop Hubble'a zmienił Wszechświat
"The Cast Of ""Brooklyn Nine-Nine"" Plays ""Never Have I Ever""",clickbait,1,Obsada „Brooklyn Nine-Nine” gra „Nigdy przenigdy”
Donald Trump immigration ban: Detained Iraqi refugee says 'America is the land of freedom',clickbait,1,"Zakaz imigracji Donalda Trumpa: Zatrzymany iracki uchodźca mówi, że „Ameryka jest krainą wolności”"
Can You Guess Why This Winchester Brother Is Crying,clickbait,1,"Czy zgadniesz, dlaczego ten brat Winchester płacze?"
British soldier jailed for 10 years for spying for Iran,news,0,Brytyjski żołnierz skazany na 10 lat więzienia za szpiegostwo na rzecz Iranu
19 Things All Students Have Experienced,clickbait,1,"19 rzeczy, których doświadczyli wszyscy uczniowie"
21 Weird Reports Coming From British Columbia And We Are Very Concerned,clickbait,1,"21 dziwnych raportów z Kolumbii Brytyjskiej, które są dla nas bardzo zaniepokojone"
St. Patrick's Day around the world,news,0,Dzień Świętego Patryka na całym świecie
Tell Us The Craziest Thing You've Done To Impress Your Crush,clickbait,1,"Opowiedz nam najbardziej szaloną rzecz, jaką zrobiłeś, żeby zaimponować swojej sympatii"
65 Things That Make British People Feel Slightly Guilty,clickbait,1,"65 rzeczy, które sprawiają, że Brytyjczycy czują się nieco winni"
17 Stunning Women Who Gave Us Hair Envy In 2015,clickbait,1,"17 oszałamiających kobiet, które wzbudziły w nas zazdrość o włosy w 2015 roku"
"Honors for a President, but Not Without Debate",news,0,"Wyróżnienia dla Prezydenta, ale nie bez debaty"
"What D.C. posts on Twitter versus what everybody else posts on Twitter, visualized",clickbait,1,"Wizualizacja tego, co DC publikuje na Twitterze w porównaniu z tym, co wszyscy inni publikują na Twitterze"
Siri Can Have Conversations With Other A.I. And I'm Horrified,clickbait,1,Siri może rozmawiać z inną sztuczną inteligencjąI jestem przerażony
Can You Name This Ballet Move,clickbait,1,Czy możesz nazwać ten ruch baletowy?
Buses Set Afire Near Arson-Hit City,news,0,"Autobusy podpalone w pobliżu miasta, w którym doszło do podpalenia"
US and South Korea to conduct naval exercises in response to warship sinking,news,0,USA i Korea Południowa przeprowadzą ćwiczenia morskie w odpowiedzi na zatonięcie okrętu wojennego
Three dead in murder-suicide shooting at Southern California fast food restaurant,news,0,Trzy osoby nie żyją w strzelaninie samobójczej w restauracji typu fast food w południowej Kalifornii
Monday's no-confidence vote may signal end of current Canadian goverment,news,0,Poniedziałkowe wotum nieufności może oznaczać koniec obecnego rządu Kanady
"A Crazy Genius Spent 13 Years Archiving Every Episode Of MTV's ""120 Minutes""",clickbait,1,Szalony geniusz spędził 13 lat na archiwizowaniu każdego odcinka „120 minut” MTV
Iran Says It Jailed 2 Prominent Doctors,news,0,"Iran twierdzi, że uwięził 2 wybitnych lekarzy"
Asbestos victims file 6.6 billion yen class action lawsuit in Tokyo,news,0,"Ofiary azbestu składają w Tokio pozew zbiorowy na kwotę 6,6 miliarda jenów"
The #InMySkinIWin Hashtag Proves That All Skin Is Beautiful,clickbait,1,"Hashtag #InMySkinIWin udowadnia, że ​​każda skóra jest piękna"
What About You Are People Most Attracted To,clickbait,1,Co w Tobie najbardziej przyciąga ludzi?
John Stamos Blessed The World With A Photo Of His Bare Ass For Paper Magazine,clickbait,1,John Stamos pobłogosławił świat zdjęciem swojego gołego tyłka dla magazynu Paper
Judge: Casey Anthony may have accidentally killed daughter,news,0,Sędzia: Casey Anthony mógł przypadkowo zabić córkę
The Best And Worst College Towns In The U.S.,clickbait,1,Najlepsze i najgorsze miasta uniwersyteckie w USA
Japanese stocks continue to fall after earthquake,news,0,Japońskie akcje nadal spadają po trzęsieniu ziemi
State Employee Accused of Pulling off Muslim Woman's Hijab ,news,0,Pracownik państwowy oskarżony o zdjęcie hidżabu muzułmance
"Series of earthquakes hit Korea, Indonesia, Turkey and Norway",news,0,"Seria trzęsień ziemi nawiedziła Koreę, Indonezję, Turcję i Norwegię"
17 International Starbucks Items That We Need Immediately,clickbait,1,"17 międzynarodowych artykułów Starbucks, których potrzebujemy natychmiast"
Here Are All Of The Reasons Why You're Wrong If You Don't Think Little Mix Are Everything,clickbait,1,"Oto wszystkie powody, dla których się mylisz, jeśli nie uważasz, że małe miksy to wszystko"
The most popular plastic surgery procedure is ...,news,0,Najpopularniejszym zabiegiem chirurgii plastycznej jest...
"Police officer charged over double-death crash in Luton, UK",news,0,Policjant oskarżony o podwójny wypadek w Luton w Wielkiej Brytanii
Stanley McChrystal Calls Picking Military Spending Over PBS 'A False Choice’,news,0,Stanley McChrystal nazywa wybieranie wydatków wojskowych zamiast PBS „fałszywym wyborem”
16 Truths Only Doctor's Office Receptionists Will Understand,clickbait,1,"16 prawd, które zrozumieją tylko recepcjonistki w gabinecie lekarskim"
You Can Now Show You're Really Interested On Tinder By Swiping Up,clickbait,1,"Możesz teraz pokazać, że naprawdę Cię interesuje Tinder, przesuwając palcem w górę"
